<X> <Y>
6.789406812696112e-03 2.483461605620265e+04
6.836516004510238e-03 2.476862097641168e+04
6.883952069645496e-03 2.470185962744714e+04
6.931717276155407e-03 2.463432531176604e+04
6.979813907830660e-03 2.456601133739442e+04
7.028244264308352e-03 2.449691102027455e+04
7.077010661181890e-03 2.442701768668888e+04
7.126115430111745e-03 2.435632467576233e+04
7.175560918936928e-03 2.428482534204437e+04
7.225349491787214e-03 2.421251305817299e+04
7.275483529196233e-03 2.413938121762120e+04
7.325965428215230e-03 2.406542323752876e+04
7.376797602527731e-03 2.399063256161984e+04
7.427982482564918e-03 2.391500266320871e+04
7.479522515621821e-03 2.383852704829517e+04
7.531420165974375e-03 2.376119925875068e+04
7.583677914997190e-03 2.368301287559761e+04
7.636298261282242e-03 2.360396152238261e+04
7.689283720758313e-03 2.352403886864605e+04
7.742636826811269e-03 2.344323863348909e+04
7.796360130405237e-03 2.336155458923960e+04
7.850456200204510e-03 2.327898056521916e+04
7.904927622696420e-03 2.319551045161199e+04
7.959777002314986e-03 2.311113820343805e+04
8.015006961565405e-03 2.302585784463125e+04
8.070620141149508e-03 2.293966347222457e+04
8.126619200091946e-03 2.285254926064369e+04
8.183006815867389e-03 2.276450946611031e+04
8.239785684528520e-03 2.267553843115671e+04
8.296958520834907e-03 2.258563058925312e+04
8.354528058382871e-03 2.249478046954893e+04
8.412497049736118e-03 2.240298270172938e+04
8.470868266557402e-03 2.231023202098887e+04
8.529644499741026e-03 2.221652327312206e+04
8.588828559546249e-03 2.212185141973421e+04
8.648423275731726e-03 2.202621154357155e+04
8.708431497690725e-03 2.192959885397300e+04
8.768856094587427e-03 2.183200869244427e+04
8.829699955494092e-03 2.173343653835503e+04
8.890965989529159e-03 2.163387801476044e+04
8.952657125996400e-03 2.153332889434732e+04
9.014776314524917e-03 2.143178510550631e+04
9.077326525210224e-03 2.132924273852990e+04
9.140310748756233e-03 2.122569805193761e+04
9.203731996618222e-03 2.112114747892842e+04
9.267593301146883e-03 2.101558763396044e+04
9.331897715733239e-03 2.090901531945880e+04
9.396648314954691e-03 2.080142753265132e+04
9.461848194722003e-03 2.069282147253207e+04
9.527500472427290e-03 2.058319454695274e+04
9.593608287093146e-03 2.047254437984150e+04
9.660174799522647e-03 2.036086881854898e+04
9.727203192450537e-03 2.024816594132070e+04
9.794696670695395e-03 2.013443406489526e+04
9.862658461312821e-03 2.001967175222753e+04
9.931091813749801e-03 1.990387782033546e+04
1.000000000000000e-02 1.978705134826958e+04
1.006938631476028e-02 1.966919168520347e+04
1.013925407558815e-02 1.955029845864376e+04
1.020960662306047e-02 1.943037158275775e+04
1.028044732093309e-02 1.930941126681638e+04
1.035177955630176e-02 1.918741802375058e+04
1.042360673976402e-02 1.906439267881818e+04
