# p(r) aus IFT (Glatter 1977)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# r / nm	p(r)	sigma_p(r)
5.06685500e+01	3.62131001e-03	2.68379290e-01
5.09794000e+01	3.98092891e-03	5.96938202e-02
5.12902500e+01	-1.60332655e-02	2.84991611e-01
5.16011000e+01	1.28465401e-02	1.68630307e-01
5.19119500e+01	3.87617317e-03	2.54131069e-01
5.22228000e+01	-1.42315867e-02	1.99839242e-01
5.25336500e+01	7.84052318e-03	2.03758701e-01
5.28445000e+01	3.56152224e-03	3.13054785e-01
5.31553500e+01	-5.10830150e-03	1.06751167e-01
5.34662000e+01	-1.68354411e-03	2.55656629e-01
5.37770500e+01	4.93633933e-03	1.07119191e-01
5.40879000e+01	-1.61131356e-03	3.92488932e-01
5.43987500e+01	-6.32496094e-04	4.26719164e-02
5.47096000e+01	-2.15691681e-03	3.68861022e-01
5.50204500e+01	3.63507739e-03	1.43682190e-01
5.53313000e+01	1.32929424e-03	3.83266797e-01
5.56421500e+01	-7.16739411e-03	2.58228976e-01
5.59530000e+01	4.70508459e-03	2.94702535e-01
5.62638500e+01	5.53314106e-03	3.68691622e-01
5.65747000e+01	-1.36247446e-02	2.17466070e-01
5.68855500e+01	1.20531514e-02	4.29295019e-01
5.71964000e+01	-2.99414568e-03	1.03085081e-01
5.75072500e+01	-6.50944810e-03	5.26348503e-01
5.78181000e+01	1.18275241e-02	1.03496674e-01
5.81289500e+01	-1.23274337e-02	5.04865431e-01
5.84398000e+01	9.01245014e-03	3.16171995e-01
5.87506500e+01	-3.72284702e-03	4.22940911e-01
5.90615000e+01	-9.40999686e-04	5.24224193e-01
5.93723500e+01	3.14234506e-03	1.83832315e-01
5.96832000e+01	-3.51324055e-03	6.63518096e-01
5.99940500e+01	4.02387256e-03	2.53579740e-01
6.03049000e+01	-5.40927317e-03	5.18831601e-01
6.06157500e+01	6.49729071e-03	6.76725920e-01
6.09266000e+01	-6.06128370e-03	1.56001926e-01
6.12374500e+01	4.32086721e-03	4.89465798e-01
6.15483000e+01	-2.46938386e-03	6.76246490e-01
6.18591500e+01	1.30285496e-03	5.26609168e-01
6.21700000e+01	0.00000000e+00	0.00000000e+00
