# Formfaktor P(q) = I_fit/S(q) (ohne Untergrund)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	P(q)	sigma_P(q)
1.92576322e-01	1.10457133e+03	1.81638707e+00
1.94631967e-01	1.06012308e+03	1.74727910e+00
1.96709554e-01	1.01622776e+03	1.67758898e+00
1.98809319e-01	9.72919309e+02	1.60762817e+00
2.00931497e-01	9.30231624e+02	1.53771753e+00
2.03076328e-01	8.88198427e+02	1.46817969e+00
2.05244054e-01	8.46853203e+02	1.39933125e+00
2.07434919e-01	8.06229110e+02	1.33147488e+00
2.09649171e-01	7.66358882e+02	1.26489160e+00
2.11887059e-01	7.27274740e+02	1.19983348e+00
2.14148834e-01	6.89008288e+02	1.13651712e+00
2.16434753e-01	6.51590414e+02	1.07511818e+00
2.18745073e-01	6.15051180e+02	1.01576742e+00
2.21080054e-01	5.79419720e+02	9.58548496e-01
2.23439960e-01	5.44724127e+02	9.03497788e-01
2.25825056e-01	5.10991338e+02	8.50606537e-01
2.28235612e-01	4.78247023e+02	7.99825189e-01
2.30671900e-01	4.46515469e+02	7.51069867e-01
2.33134193e-01	4.15819462e+02	7.04230601e-01
2.35622770e-01	3.86180175e+02	6.59180796e-01
2.38137911e-01	3.57617044e+02	6.15787299e-01
2.40679900e-01	3.30147659e+02	5.73920342e-01
2.43249023e-01	3.03787649e+02	5.33462669e-01
2.45845570e-01	2.78550568e+02	4.94317245e-01
2.48469834e-01	2.54447787e+02	4.56413071e-01
2.51122111e-01	2.31488392e+02	4.19708825e-01
2.53802699e-01	2.09679079e+02	3.84194248e-01
2.56511900e-01	1.89024061e+02	3.49889326e-01
2.59250021e-01	1.69524980e+02	3.16841511e-01
2.62017370e-01	1.51180824e+02	2.85121311e-01
2.64814259e-01	1.33987853e+02	2.54816653e-01
2.67641003e-01	1.17939539e+02	2.26026464e-01
2.70497921e-01	1.03026505e+02	1.98853970e-01
2.73385334e-01	8.92364860e+01	1.73400169e-01
2.76303570e-01	7.65542993e+01	1.49757984e-01
2.79252956e-01	6.49618232e+01	1.28007580e-01
2.82233825e-01	5.44379944e+01	1.08213359e-01
2.85246513e-01	4.49588198e+01	9.04231701e-02
2.88291359e-01	3.64974024e+01	7.46702668e-02
2.91368708e-01	2.90239857e+01	6.09784019e-02
2.94478906e-01	2.25060145e+01	4.93695875e-02
2.97622304e-01	1.69082146e+01	3.98710651e-02
3.00799255e-01	1.21926908e+01	3.25099560e-02
3.04010119e-01	8.31904438e+00	2.72713176e-02
3.07255256e-01	5.24451063e+00	2.40031780e-02
3.10535034e-01	2.92411576e+00	2.23308031e-02
3.13849822e-01	1.31085412e+00	2.17123618e-02
3.17199993e-01	3.55885288e-01	2.16244207e-02
3.20585925e-01	8.75073634e-03	2.17055151e-02
3.24008001e-01	2.17609656e-01	2.17885798e-02
3.27466605e-01	9.29493213e-01	2.18779232e-02
3.30962127e-01	2.09057628e+00	2.21178179e-02
3.34494963e-01	3.64646547e+00	2.27534213e-02
3.38065509e-01	5.54250205e+00	2.40637698e-02
3.41674169e-01	7.72407796e+00	2.62671046e-02
3.45321350e-01	1.01369631e+01	2.94452738e-02
3.49007462e-01	1.27276413e+01	3.35359051e-02
3.52732921e-01	1.54436534e+01	3.83799657e-02
3.56498147e-01	1.82339428e+01	4.37767567e-02
3.60303565e-01	2.10492027e+01	4.95201081e-02
3.64149604e-01	2.38422202e+01	5.54166472e-02
3.68036697e-01	2.65682141e+01	6.12943686e-02
3.71965283e-01	2.91851628e+01	6.70070075e-02
3.75935804e-01	3.16541189e+01	7.24363236e-02
3.79948708e-01	3.39395050e+01	7.74926066e-02
3.84004448e-01	3.60093887e+01	8.21131203e-02
3.88103481e-01	3.78357306e+01	8.62582496e-02
3.92246268e-01	3.93946028e+01	8.99054778e-02
3.96433277e-01	4.06663724e+01	9.30418146e-02
4.00664981e-01	4.16358476e+01	9.56557744e-02
4.04941855e-01	4.22923810e+01	9.77303119e-02
4.09264383e-01	4.26299283e+01	9.92381297e-02
4.13633051e-01	4.26470581e+01	1.00140416e-01
4.18048352e-01	4.23469111e+01	1.00389419e-01
4.22510784e-01	4.17371056e+01	9.99344750e-02
4.27020850e-01	4.08295892e+01	9.87304315e-02
4.31579059e-01	3.96404347e+01	9.67469465e-02
4.36185923e-01	3.81895809e+01	9.39770612e-02
4.40841964e-01	3.65005194e+01	9.04436237e-02
4.45547705e-01	3.45999286e+01	8.62025525e-02
4.50303677e-01	3.25172576e+01	8.13424435e-02
4.55110417e-01	3.02842658e+01	7.59805837e-02
4.59968466e-01	2.79345190e+01	7.02559562e-02
4.64878372e-01	2.55028530e+01	6.43202919e-02
4.69840688e-01	2.30248071e+01	5.83285572e-02
4.74855974e-01	2.05360384e+01	5.24304284e-02
4.79924796e-01	1.80717238e+01	4.67641623e-02
4.85047724e-01	1.56659617e+01	4.14537338e-02
4.90225337e-01	1.33511802e+01	3.66090521e-02
4.95458218e-01	1.11575669e+01	3.23274714e-02
5.00746957e-01	9.11252828e+00	2.86929248e-02
5.06092151e-01	7.24019150e+00	2.57679335e-02
5.11494401e-01	5.56096010e+00	2.35761134e-02
5.16954317e-01	4.09113396e+00	2.20812577e-02
5.22472515e-01	2.84260428e+00	2.11792144e-02
5.28049617e-01	1.82263279e+00	2.07161280e-02
5.33686251e-01	1.03372338e+00	2.05269124e-02
5.39383053e-01	4.73592656e-01	2.04727416e-02
5.45140665e-01	1.35244233e-01	2.04621846e-02
5.50959736e-01	7.14908645e-03	2.04548909e-02
5.56840923e-01	7.35322300e-02	2.04540801e-02
5.62784888e-01	3.14763093e-01	2.04939254e-02
5.68792302e-01	7.07844281e-01	2.06253607e-02
5.74863841e-01	1.22699047e+00	2.09017062e-02
5.81000191e-01	1.84428624e+00	2.13645881e-02
5.87202042e-01	2.53040892e+00	2.20311757e-02
