# Strukturfaktor S(q) (hs_py_avg)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	S(q)
4.45547705e-01	1.05434672e+00
4.50303677e-01	1.05352359e+00
4.55110417e-01	1.05169258e+00
4.59968466e-01	1.04890876e+00
4.64878372e-01	1.04524883e+00
4.69840688e-01	1.04080884e+00
4.74855974e-01	1.03570130e+00
4.79924796e-01	1.03005179e+00
4.85047724e-01	1.02399538e+00
4.90225337e-01	1.01767286e+00
4.95458218e-01	1.01122717e+00
5.00746957e-01	1.00479997e+00
5.06092151e-01	9.98528580e-01
5.11494401e-01	9.92543324e-01
5.16954317e-01	9.86965229e-01
5.22472515e-01	9.81904154e-01
5.28049617e-01	9.77457249e-01
5.33686251e-01	9.73707711e-01
5.39383053e-01	9.70723759e-01
5.45140665e-01	9.68557759e-01
5.50959736e-01	9.67245445e-01
5.56840923e-01	9.66805177e-01
5.62784888e-01	9.67237232e-01
5.68792302e-01	9.68523112e-01
5.74863841e-01	9.70624918e-01
5.81000191e-01	9.73484851e-01
5.87202042e-01	9.77024963e-01
5.93470095e-01	9.81147286e-01
5.99805056e-01	9.85734532e-01
6.06207640e-01	9.90651536e-01
6.12678567e-01	9.95747648e-01
6.19218567e-01	1.00086022e+00
6.25828379e-01	1.00581926e+00
6.32508746e-01	1.01045333e+00
6.39260423e-01	1.01459640e+00
6.46084170e-01	1.01809547e+00
6.52980757e-01	1.02081849e+00
6.59950961e-01	1.02266196e+00
6.66995568e-01	1.02355752e+00
