# IFT-Fit I(q) im Fitbereich
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	I_fit	sigma_I_fit
4.22510784e-01	4.35296749e+01	1.00355149e-01
4.27020850e-01	4.27558124e+01	9.95781826e-02
4.31579059e-01	4.16409737e+01	9.79146548e-02
4.36185923e-01	4.02044999e+01	9.53444574e-02
4.40841964e-01	3.84723119e+01	9.18844514e-02
4.45547705e-01	3.64763408e+01	8.75921317e-02
4.50303677e-01	3.42537178e+01	8.25643985e-02
4.55110417e-01	3.18457573e+01	7.69315050e-02
4.59968466e-01	2.92967814e+01	7.08470082e-02
4.64878372e-01	2.66528470e+01	6.44751996e-02
4.69840688e-01	2.39604425e+01	5.79779338e-02
4.74855974e-01	2.12652213e+01	5.15029273e-02
4.79924796e-01	1.86108312e+01	4.51753735e-02
4.85047724e-01	1.60378920e+01	3.90940779e-02
4.90225337e-01	1.35831534e+01	3.33323287e-02
4.95458218e-01	1.12788545e+01	2.79425905e-02
5.00746957e-01	9.15228777e+00	2.29631867e-02
5.06092151e-01	7.22555779e+00	1.84247625e-02
5.11494401e-01	5.51551347e+00	1.43546494e-02
5.16954317e-01	4.03382662e+00	1.07781423e-02
5.22472515e-01	2.78718461e+00	7.71677022e-03
5.28049617e-01	1.77756529e+00	5.18444713e-03
5.33686251e-01	1.00256408e+00	3.18249213e-03
5.39383053e-01	4.55747297e-01	1.69334157e-03
5.45140665e-01	1.27011505e-01	6.68975106e-04
5.50959736e-01	2.93457539e-03	2.93790069e-05
5.56840923e-01	6.71109947e-02	5.20578409e-04
5.62784888e-01	3.00470237e-01	1.16001985e-03
5.68792302e-01	6.81583200e-01	2.08917569e-03
5.74863841e-01	1.18696717e+00	3.35086653e-03
5.81000191e-01	1.79140437e+00	4.92601032e-03
5.87202042e-01	2.46829233e+00	6.76694274e-03
5.93470095e-01	3.19004605e+00	8.80472163e-03
5.99805056e-01	3.92857088e+00	1.09512209e-02
6.06207640e-01	4.65582172e+00	1.31037030e-02
6.12678567e-01	5.34445666e+00	1.51534221e-02
6.19218567e-01	5.96858276e+00	1.69971380e-02
6.25828379e-01	6.50457743e+00	1.85489858e-02
6.32508746e-01	6.93195230e+00	1.97495621e-02
6.39260423e-01	7.23420966e+00	2.05694355e-02
6.46084170e-01	7.39962678e+00	2.10057147e-02
6.52980757e-01	7.42189422e+00	2.10727034e-02
6.59950961e-01	7.30053406e+00	2.07903099e-02
6.66995568e-01	7.04103399e+00	2.01753711e-02
6.74115372e-01	6.65465494e+00	1.92400276e-02
6.81311176e-01	6.15790053e+00	1.79977361e-02
6.88583792e-01	5.57167171e+00	1.64733607e-02
