# Eingangsdaten nach q-Umrechnung (Faktor 10 → nm^-1)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	I	sigma (verwendet)
3.20585925e-01	4.00091931e-03	4.00091931e-05
3.24008001e-01	1.94030378e-01	1.94030378e-03
3.27466605e-01	8.41024749e-01	8.41024749e-03
3.30962127e-01	1.89649529e+00	1.89649529e-02
3.34494963e-01	3.31361058e+00	3.31361058e-02
3.38065509e-01	5.04699883e+00	5.04699883e-02
3.41674169e-01	7.05254774e+00	7.05254774e-02
3.45321350e-01	9.28720841e+00	9.28720841e-02
3.49007462e-01	1.17088103e+01	1.17088103e-01
3.52732921e-01	1.42758948e+01	1.42758948e-01
3.56498147e-01	1.69475750e+01	1.69475750e-01
3.60303565e-01	1.96834311e+01	1.96834311e-01
3.64149604e-01	2.24434503e+01	2.24434503e-01
3.68036697e-01	2.51880210e+01	2.51880210e-01
3.71965283e-01	2.78779913e+01	2.78779913e-01
3.75935804e-01	3.04748015e+01	3.04748015e-01
3.79948708e-01	3.29406986e+01	3.29406986e-01
3.84004448e-01	3.52390392e+01	3.52390392e-01
3.88103481e-01	3.73346846e+01	3.73346846e-01
3.92246268e-01	3.91944860e+01	3.91944860e-01
3.96433277e-01	4.07878537e+01	4.07878537e-01
4.00664981e-01	4.20873959e+01	4.20873959e-01
4.04941855e-01	4.30696062e+01	4.30696062e-01
4.09264383e-01	4.37155698e+01	4.37155698e-01
4.13633051e-01	4.40116517e+01	4.40116517e-01
4.18048352e-01	4.39501241e+01	4.39501241e-01
4.22510784e-01	4.35296849e+01	4.35296849e-01
4.27020850e-01	4.27558229e+01	4.27558229e-01
4.31579059e-01	4.16409844e+01	4.16409844e-01
4.36185923e-01	4.02045107e+01	4.02045107e-01
4.40841964e-01	3.84723224e+01	3.84723224e-01
4.45547705e-01	3.64763508e+01	3.64763508e-01
4.50303677e-01	3.42537271e+01	3.42537271e-01
4.55110417e-01	3.18457658e+01	3.18457658e-01
4.59968466e-01	2.92967891e+01	2.92967891e-01
4.64878372e-01	2.66528540e+01	2.66528540e-01
4.69840688e-01	2.39604489e+01	2.39604489e-01
4.74855974e-01	2.12652271e+01	2.12652271e-01
4.79924796e-01	1.86108368e+01	1.86108368e-01
4.85047724e-01	1.60378974e+01	1.60378974e-01
4.90225337e-01	1.35831588e+01	1.35831588e-01
4.95458218e-01	1.12788599e+01	1.12788599e-01
5.00746957e-01	9.15229329e+00	9.15229329e-02
5.06092151e-01	7.22556345e+00	7.22556345e-02
5.11494401e-01	5.51551927e+00	5.51551927e-02
5.16954317e-01	4.03383252e+00	4.03383252e-02
5.22472515e-01	2.78719056e+00	2.78719056e-02
5.28049617e-01	1.77757126e+00	1.77757126e-02
