<X> <Y>
1.183401747233063e-01 2.536063556309805e-01
1.196033898297882e-01 1.385329350753881e-01
1.208800890502575e-01 5.481800004701511e-02
1.221704163200810e-01 9.156763000575725e-03
1.234745171110555e-01 3.475294962802008e-03
1.247925384478073e-01 3.478888095652445e-02
1.261246289243684e-01 9.562258375524227e-02
1.274709387209291e-01 1.749685255509451e-01
1.288316196207690e-01 2.597074211278432e-01
1.302068250273691e-01 3.363618368126118e-01
1.315967099817068e-01 3.929783356257669e-01
1.330014311797353e-01 4.208721534689177e-01
1.344211469900489e-01 4.159396314461759e-01
1.358560174717385e-01 3.792779998692646e-01
1.373062043924358e-01 3.169596641818581e-01
1.387718712465516e-01 2.389702014930969e-01
1.402531832737079e-01 1.574910939722416e-01
1.417503074773672e-01 8.483809119897549e-02
1.432634126436604e-01 3.141979158954537e-02
1.447926693604158e-01 4.055890918006379e-03
1.463382500363914e-01 4.914529416819528e-03
1.479003289207122e-01 3.122500423249874e-02
1.494790821225148e-01 7.581611751709436e-02
1.510746876308023e-01 1.284232428241423e-01
1.526873253345110e-01 1.775902773885585e-01
1.543171770427905e-01 2.128661072548331e-01
1.559644265055016e-01 2.268844847746729e-01
1.576292594339318e-01 2.168719604858699e-01
1.593118635217326e-01 1.852019164101613e-01
1.610124284660804e-01 1.388165896214279e-01
1.627311459890624e-01 8.762300057654875e-02
1.644682098592919e-01 4.223550803823486e-02
1.662238159137537e-01 1.159458552484408e-02
1.679981620798826e-01 1.000014173416062e-03
1.697914483978782e-01 1.098219653763502e-02
1.716038770432569e-01 3.725256986142374e-02
1.734356523496459e-01 7.176462262481755e-02
1.752869808318193e-01 1.046942256071898e-01
1.771580712089806e-01 1.269212250561350e-01
1.790491344282942e-01 1.324071071603024e-01
1.809603836886672e-01 1.198035097103893e-01
1.828920344647860e-01 9.277776039615977e-02
1.848443045314080e-01 5.890571838996228e-02
1.868174139879148e-01 2.743777220296487e-02
1.888115852831255e-01 6.603757035032941e-03
1.908270432403755e-01 1.250086816909093e-03
1.928640150828639e-01 1.148366814624804e-02
1.949227304592698e-01 3.271056212857896e-02
1.970034214696437e-01 5.708974375366022e-02
1.991063226915740e-01 7.602854600279073e-02
2.012316712066335e-01 8.298829606451434e-02
2.033797066271082e-01 7.566979661000237e-02
2.055506711230110e-01 5.676325056687574e-02
2.077448094493840e-01 3.292665198688782e-02
2.099623689738926e-01 1.233485262218523e-02
2.122035997047132e-01 1.701391398927584e-03
2.144687543187198e-01 3.863783996728718e-03
2.167580881899704e-01 1.680324729852007e-02
2.190718594184980e-01 3.447119035340009e-02
2.214103288594092e-01 4.917291498887514e-02
2.237737601522925e-01 5.465697846683277e-02
2.261624197509417e-01 4.867883563297661e-02
2.285765769533954e-01 3.390303610307763e-02
2.310165039322982e-01 1.667754586825232e-02
2.334824757655851e-01 4.190166119496862e-03
2.359747704674942e-01 1.277259561904116e-03
2.384936690199098e-01 8.306564302029241e-03
2.410394554040406e-01 2.108122864982514e-02
2.436124166324357e-01 3.285261169774934e-02
2.462128427813423e-01 3.758375207006402e-02
2.488410270234094e-01 3.292410012344979e-02
2.514972656607396e-01 2.135309509144552e-02
2.541818581582947e-01 8.820065934077477e-03
2.568951071776573e-01 1.561531602085004e-03
2.596373186111529e-01 2.790757721174364e-03
2.624088016163362e-01 1.102648437563778e-02
2.652098686508460e-01 2.097740178060041e-02
2.680408355076313e-01 2.656753260744478e-02
2.709020213505536e-01 2.446199853706178e-02
2.737937487503707e-01 1.601087370046289e-02
2.767163437211019e-01 6.352967421554807e-03
2.796701357567841e-01 1.179939945144019e-03
2.826554578686185e-01 3.177666048371702e-03
2.856726466225141e-01 1.038336106245476e-02
2.887220421770330e-01 1.752767289205509e-02
2.918039883217392e-01 1.957147176539963e-02
2.949188325159577e-01 1.513128662578833e-02
2.980669259279477e-01 7.384427752117569e-03
3.012486234744924e-01 1.730377355291643e-03
3.044642838609134e-01 1.863308610203988e-03
3.077142696215104e-01 7.112147195191844e-03
3.109989471604341e-01 1.301706870465159e-02
3.143186867929942e-01 1.478279782217909e-02
3.176738627874089e-01 1.102734786569266e-02
3.210648534070002e-01 4.826886431038367e-03
3.244920409528392e-01 1.126377264723548e-03
3.279558118068472e-01 2.621386754795258e-03
3.314565564753556e-01 7.546466570479583e-03
3.349946696331326e-01 1.126562097017535e-02
3.385705501678785e-01 1.037735107106698e-02
3.421846012251966e-01 5.741102439589504e-03
3.458372302540435e-01 1.607229291258431e-03
3.495288490526656e-01 1.595177651523772e-03
3.532598738150249e-01 5.294397503680409e-03
3.570307251777207e-01 8.740325971782878e-03
3.608418282674128e-01 8.373913987794862e-03
3.646936127487500e-01 4.610615825187786e-03
3.685865128728105e-01 1.331374696217076e-03
3.725209675260597e-01 1.759288935294645e-03
3.764974202798304e-01 5.063328402782028e-03
3.805163194403308e-01 7.341245769715287e-03
3.845781180991870e-01 5.981995649080407e-03
3.886832741845245e-01 2.579570076075777e-03
3.928322505125953e-01 1.007662569242362e-03
3.970255148399556e-01 2.848650270155341e-03
4.012635399162008e-01 5.572361756982294e-03
4.055468035372637e-01 5.686660728645194e-03
4.098757885992813e-01 3.071977836138474e-03
4.142509831530362e-01 1.052224848876725e-03
4.186728804589800e-01 2.051119029523367e-03
4.231419790428436e-01 4.460606444174450e-03
4.276587827518406e-01 4.870797385683500e-03
4.322238008114718e-01 2.728300853480198e-03
4.368375478829350e-01 1.028201323371683e-03
4.415005441211480e-01 2.016593167691762e-03
4.462133152333914e-01 4.007260384850897e-03
4.509763925385765e-01 3.933170538462786e-03
4.557903130271463e-01 1.926580265413581e-03
4.606556194216165e-01 1.032618176945313e-03
4.655728602377617e-01 2.454642797999863e-03
4.705425898464549e-01 3.729388061446137e-03
4.755653685361683e-01 2.742381232183691e-03
4.806417625761397e-01 1.141999025189763e-03
4.857723442802135e-01 1.512829644759840e-03
4.909576920713645e-01 3.020780309760432e-03
4.961983905469086e-01 2.935671886816013e-03
5.014950305444110e-01 1.423436339905274e-03
5.068482092082965e-01 1.163483903807813e-03
5.122585300571737e-01 2.462046392189415e-03
5.177266030518723e-01 2.769821467378440e-03
5.232530446642146e-01 1.504155490156575e-03
5.288384779465128e-01 1.084536248915029e-03
5.344835326018138e-01 2.188846711387608e-03
5.401888450548933e-01 2.491392507208174e-03
5.459550585240032e-01 1.377091195443362e-03
5.517828230933921e-01 1.121578601099394e-03
5.576727957865921e-01 2.125940724481129e-03
5.636256406404957e-01 2.150565702753548e-03
5.696420287802150e-01 1.148858438913048e-03
5.757226384947493e-01 1.284757140165260e-03
5.818681553134510e-01 2.125042967037272e-03
5.880792720833168e-01 1.700683321354868e-03
5.943566890470946e-01 1.000987024679656e-03
6.007011139222342e-01 1.591769082190321e-03
6.071132619806705e-01 1.957949331944375e-03
6.135938561294683e-01 1.201785650183138e-03
6.201436269923176e-01 1.163639232335970e-03
6.267633129919105e-01 1.836108151124794e-03
6.334536604331846e-01 1.464240119110230e-03
6.402154235874681e-01 1.008958281698179e-03
6.470493647775110e-01 1.586330656806506e-03
6.539562544634316e-01 1.592020233320366e-03
6.609368713295812e-01 1.012783171960781e-03
6.679920023723274e-01 1.383461154147981e-03
6.751224429887861e-01 1.598767979469564e-03
6.823289970664896e-01 1.048116226113873e-03
6.896124770740222e-01 1.269231959662879e-03
6.969737041526124e-01 1.548796868694756e-03
7.044135082087146e-01 1.058138928208188e-03
7.119327280075671e-01 1.228124713831184e-03
7.195322112677603e-01 1.479871081799403e-03
7.272128147568030e-01 1.037317443396506e-03
7.349754043877205e-01 1.239543730458962e-03
7.428208553166716e-01 1.395321580822987e-03
7.507500520416204e-01 1.006995634972994e-03
7.587638885020482e-01 1.285070417436914e-03
7.668632681797432e-01 1.280896998599022e-03
7.750491042006523e-01 1.006380419578511e-03
7.833223194378341e-01 1.330072643760687e-03
7.916838466154978e-01 1.136117506644260e-03
8.001346284141614e-01 1.075846259867420e-03
8.086756175769320e-01 1.309907081585931e-03
8.173077770169126e-01 1.016537379665244e-03
8.260320799257680e-01 1.200822377365772e-03
8.348495098834354e-01 1.176056298081404e-03
8.437610609690209e-01 1.027130638432532e-03
8.527677378728648e-01 1.254577145840618e-03
8.618705560098178e-01 1.018784920206455e-03
8.710705416337119e-01 1.167041912593764e-03
8.803687319530681e-01 1.122770019909894e-03
8.897661752480238e-01 1.046228284802460e-03
8.992639309885235e-01 1.194165629809984e-03
9.088630699537567e-01 1.000039707950582e-03
9.185646743528846e-01 1.181791166740430e-03
9.283698379470419e-01 1.027049220336363e-03
9.382796661726546e-01 1.121535767599743e-03
9.482952762660607e-01 1.077165867364682e-03
9.584177973894707e-01 1.061265890703594e-03
9.686483707582724e-01 1.113906170098968e-03
9.789881497696847e-01 1.022900353549840e-03
9.894383001328005e-01 1.128345221389434e-03
1.000000000000000e+00 1.005647684406620e-03
